Quality_Score,Growth_Score,Risk_Score,Composite_Score
41920000.0,43300000.0,49850000.0,24050000.0
55990000.0,43300000.0,20400000.0,36270000.0
60980000.0,55090000.0,48490000.0,37020000.0
51920000.0,45050000.0,54390000.0,28250000.0
79350000.0,60340000.0,16910000.0,53440000.0
78690000.0,45970000.0,25770000.0,46350000.0
80060000.0,32920000.0,26720000.0,42200000.0
83730000.0,32320000.0,26950000.0,43600000.0
90200000.0,31430000.0,26410000.0,46310000.0
