Year,PE,Price_Low_PE,Price_Base_PE,Price_High_PE,Expected_Price_PE,EPS,PS,Price_Low_PS,Price_Base_PS,Price_High_PS,Expected_Price_PS,Revenue_per_Share,PB,Price_Low_PB,Price_Base_PB,Price_High_PB,Expected_Price_PB,BVPS,EV_EBITDA,Price_Low_EV_EBITDA,Price_Base_EV_EBITDA,Price_High_EV_EBITDA,Expected_Price_EV_EBITDA,EV_Low_EV_EBITDA,EV_Base_EV_EBITDA,EV_High_EV_EBITDA,Equity_Low_EV_EBITDA,Equity_Base_EV_EBITDA,Equity_High_EV_EBITDA,EV_Revenue,Price_Low_EV_Revenue,Price_Base_EV_Revenue,Price_High_EV_Revenue,Expected_Price_EV_Revenue,EV_Low_EV_Revenue,EV_Base_EV_Revenue,EV_High_EV_Revenue,Equity_Low_EV_Revenue,Equity_Base_EV_Revenue,Equity_High_EV_Revenue,EV_EBIT,Price_Low_EV_EBIT,Price_Base_EV_EBIT,Price_High_EV_EBIT,Expected_Price_EV_EBIT,EV_Low_EV_EBIT,EV_Base_EV_EBIT,EV_High_EV_EBIT,Equity_Low_EV_EBIT,Equity_Base_EV_EBIT,Equity_High_EV_EBIT,FCF_Yield,Price_Low_FCF_Yield,Price_Base_FCF_Yield,Price_High_FCF_Yield,Expected_Price_FCF_Yield,Div_Yield,Price_Low_Div_Yield,Price_Base_Div_Yield,Price_High_Div_Yield,Expected_Price_Div_Yield,Expected_Price_EV_Blended,Blended_Price,MarketCap
2022,24.65,172.55,172.58,172.55,172.56,7.0,12.28,172.53,172.58,172.53,172.56,14.05,10.83,172.63,172.58,172.63,172.61,15.94,18.78,172.59,172.58,172.59,172.59,366867300000.0,366837952300.0,366867300000.0,360106300000.0,360076952300.0,360106300000.0,12.52,172.64,172.58,172.64,172.61,366961200000.0,366837952300.0,366961200000.0,360200200000.0,360076952300.0,360200200000.0,18.64,172.59,172.58,172.59,172.58,366853840000.0,366837952300.0,366853840000.0,360092840000.0,360076952300.0,360092840000.0,0.05,172.42,172.58,172.42,172.5,0.01,172.49,172.58,172.49,172.53,172.6,172.57,360076952300.0
2023,27.2,209.38,225.24,219.94,219.95,8.28,14.02,204.33,225.24,218.31,218.28,16.07,12.36,204.4,225.24,218.35,218.31,18.23,20.41,211.6,225.24,220.68,220.69,434098000000.0,461810960260.0,452536560000.0,429921000000.0,457633960260.0,448359560000.0,14.14,205.67,225.24,218.68,218.71,422040025000.0,461810960260.0,448488955000.0,417863025000.0,457633960260.0,444311955000.0,21.06,205.64,225.24,218.7,218.7,421985115000.0,461810960260.0,448516785000.0,417808115000.0,457633960260.0,444339785000.0,0.04,201.85,225.24,216.99,217.33,0.01,211.6,225.24,220.44,220.63,219.4,219.34,457633960260.0
2024,27.89,252.25,271.37,268.01,265.75,9.73,14.96,238.54,271.37,262.85,261.03,18.14,14.1,223.09,271.37,254.55,255.09,19.24,21.35,248.72,271.37,265.32,264.2,501455645000.0,546312694492.68,534340080000.0,492594645000.0,537451694492.68,525479080000.0,15.21,237.33,271.37,261.73,260.45,478893580000.0,546312694492.68,527214050000.0,470032580000.0,537451694492.68,518353050000.0,22.71,236.64,271.37,261.36,260.19,477531450000.0,546312694492.68,526487445000.0,468670450000.0,537451694492.68,517626445000.0,0.03,203.63,271.37,242.63,247.25,0.01,249.03,271.37,266.16,264.48,261.7,261.36,537451694492.68
2025,33.26,280.96,339.3,311.86,317.86,10.2,16.4,299.8,339.3,324.42,325.7,20.69,17.65,254.28,339.3,305.12,309.5,19.22,25.53,276.7,339.3,311.13,316.61,542942640000.0,663961903562.4,609510320000.0,534935640000.0,655954903562.4,601503320000.0,16.6,299.49,339.3,324.94,325.76,587000000000.0,663961903562.4,636200000000.0,578993000000.0,655954903562.4,628193000000.0,25.0,296.48,339.3,323.54,324.65,581178060000.0,663961903562.4,633493380000.0,573171060000.0,655954903562.4,625486380000.0,0.03,286.91,339.3,329.72,323.81,0.01,299.62,339.3,321.74,324.99,322.28,320.52,655954903562.4
2026,31.6,319.25,366.21,354.36,351.51,11.59,15.58,326.46,351.02,353.27,345.44,22.53,16.77,260.23,329.82,312.26,308.03,19.67,24.25,309.57,323.98,388.06,336.4,607115860000.0,635077100000.0,759415380000.0,600699860000.0,628661100000.0,752999380000.0,15.77,315.25,339.36,370.68,341.16,618144240000.0,664920360000.0,725685600000.0,611728240000.0,658504360000.0,719269600000.0,23.75,314.17,339.05,373.57,341.46,616047120000.0,664312920000.0,731300000000.0,609631120000.0,657896920000.0,724884000000.0,0.03,337.55,380.1,387.91,371.41,0.01,322.42,363.29,346.22,348.8,339.57,349.72,678605631039.84
2027,30.67,347.89,387.37,386.16,377.2,12.63,15.42,355.0,377.91,384.16,373.75,24.5,16.1,268.44,326.68,322.1,310.98,20.29,23.53,336.58,352.25,421.94,365.76,662978030000.0,693512050000.0,829290990000.0,655740030000.0,686274050000.0,822052990000.0,15.63,342.76,368.98,403.04,370.94,675029460000.0,726110190000.0,792467400000.0,667791460000.0,718872190000.0,785229400000.0,23.49,341.59,368.64,406.19,371.27,672740640000.0,725448240000.0,798600000000.0,665502640000.0,718210240000.0,791362000000.0,0.03,370.02,415.9,425.23,406.76,0.01,351.34,386.35,377.28,375.33,369.21,378.44,737297289172.8
2028,29.74,376.26,406.3,417.65,401.63,13.66,15.27,384.56,405.27,416.15,402.81,26.54,15.43,277.43,323.65,332.9,314.41,20.97,22.8,364.79,381.77,457.24,396.39,721126120000.0,754338200000.0,902025960000.0,713815120000.0,747027200000.0,894714960000.0,15.49,371.48,399.88,436.76,402.0,734219500000.0,789779250000.0,861955000000.0,726908500000.0,782468250000.0,854644000000.0,23.23,370.21,399.51,440.17,402.35,731729700000.0,789058950000.0,868625000000.0,724418700000.0,781747950000.0,861314000000.0,0.03,409.35,459.26,470.42,449.57,0.01,379.96,408.01,408.01,401.0,400.12,408.22,798792463659.9
2029,28.82,405.74,424.47,450.37,426.26,14.73,15.12,414.7,432.59,448.76,432.16,28.62,14.77,286.96,320.29,344.33,317.97,21.69,22.08,394.1,412.41,493.82,428.18,781539720000.0,817534200000.0,977594760000.0,774798720000.0,810793200000.0,970853760000.0,15.35,401.32,431.94,471.73,434.23,795728500000.0,855942750000.0,934165000000.0,788987500000.0,849201750000.0,927424000000.0,22.97,399.94,431.54,475.4,434.6,793014300000.0,855145050000.0,941375000000.0,786273300000.0,848404050000.0,934634000000.0,0.03,450.4,504.38,517.59,494.19,0.01,409.65,429.8,439.9,427.29,432.21,438.83,862738190557.74
2030,27.89,436.04,441.5,484.0,450.76,15.83,14.96,445.71,460.17,482.32,462.09,30.76,14.1,297.28,316.83,356.71,321.91,22.47,21.35,424.43,444.1,531.6,461.06,844198420000.0,883078700000.0,1055971860000.0,838649420000.0,877529700000.0,1050422860000.0,15.21,432.18,465.1,507.86,467.56,859528180000.0,924570270000.0,1009064200000.0,853979180000.0,919021270000.0,1003515200000.0,22.71,430.7,464.66,511.8,467.96,856594440000.0,923706540000.0,1016850000000.0,851045440000.0,918157540000.0,1011301000000.0,0.03,492.99,551.08,566.54,540.42,0.01,440.17,451.45,472.66,453.93,465.38,470.06,928820798782.9
