Revenue_Growth%,OperatingIncome_Growth%,NetIncome_Growth%,EPS_Growth%,EBITDA_Growth%,FreeCashFlow_Growth%,PaymentVolume_Growth%,Transactions_Growth%,OperatingExpense_Growth%,Dividends_Growth%,Shares_Growth%,OperatingCashFlow_Growth%,Capex_Growth%,TotalAssets_Growth%,TotalLiabilities_Growth%,Equity_Growth%
,,,,,,,,,,,,,,,
11.40566,11.41202,15.48439,18.28571,15.81264,10.16276,6.03448,10.72917,6.75051,17.10896,-2.62043,10.11194,9.17526,5.84555,3.69792,8.85866
10.02358,9.71405,14.29977,17.51208,13.11439,-5.0924,7.31707,9.97178,16.06155,12.42335,-2.52239,-3.87858,18.69688,4.4332,6.96983,1.04304
11.33998,10.38783,1.5955,4.83042,1.60994,15.42824,7.57576,10.13687,15.7862,9.88855,-2.38591,15.58396,17.89976,5.41313,11.45664,-3.1377
9.29,10.15213,13.93958,13.62745,14.39449,18.08407,5.6338,8.1165,4.49096,8.00604,0.37068,17.01288,1.417,2.43308,0.32892,3.40552
9.20258,9.20279,9.41192,8.97325,9.20124,10.06319,5.8,7.81968,9.21233,9.41059,0.40344,10.01779,9.24817,6.93967,11.06733,3.59184
8.76851,8.76847,8.63427,8.15519,8.77074,11.11151,5.48204,7.25256,8.7645,8.61943,0.43708,10.98198,8.76979,6.58279,8.97432,3.77266
8.37747,8.37531,8.31615,7.83309,8.37767,10.54591,5.19713,6.76213,8.37538,8.32213,0.47153,10.42647,8.34267,6.65939,7.97107,3.94162
8.01777,8.01753,7.98695,7.46775,8.01734,10.01306,4.94037,6.33383,8.02075,7.99317,0.50691,9.90929,8.06202,6.88521,7.39867,4.09808
